ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	PWK_logFC	PWK_FDR	B6J_logFC	B6J_FDR	CAST_logFC	CAST_FDR
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	-8.173337242698935	2.7216176461195864e-25	0.6006559876049895	0.01380517487592747	-4.677972780862579	1.649409500603112e-22
ENSMUSG00000060198	Gm11353	NA	NA	NA	10.570274360503214	9.698564874989378e-25	3.1467192365273835	0.25149617813626735	0.32270562660091573	0.9027838183622104
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	12.008327398198448	4.759338019374899e-24	-0.019975985095099315	1	0.013964652158464734	0.9999984152650183
ENSMUSG00000058603	Rpl28-ps1	NA	NA	NA	8.80796816197594	8.604083308620198e-24	8.947905615298204	5.845205729377294e-24	1.1699729679479516	0.6185161363230789
ENSMUSG00000027848	Olfml3	Olfml3	99543	olfactomedin-like 3	-4.258880333419194	1.0714702123360363e-22	-0.9550081547489858	2.6894103424837356e-5	-0.7367898389160206	4.282520920338155e-4
ENSMUSG00000063328	Gm9396	NA	NA	NA	-8.81659724732236	2.6569072747749485e-22	-10.331995782160663	3.441244912145315e-20	-8.13740861388965	1.3122978534598719e-21
ENSMUSG00000018927	Ccl6	Ccl6	20305	chemokine (C-C motif) ligand 6	-4.396407005669161	7.239585372137995e-20	-2.5770838903063824	9.393881608900662e-14	-3.4182548623469438	3.8111522202193915e-18
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	-7.031794906170573	7.239585372137995e-20	0.08505662520644414	0.8850597120244144	-3.9108406249516388	1.3373984951811904e-15
ENSMUSG00000083192	Rpl31-ps12	NA	NA	NA	-8.782428590430083	3.452614637464307e-19	0.41363525880644014	0.19720452791555015	0.6038748642664143	0.010799522399107132
ENSMUSG00000022671	Mzt2	Mzt2	72083	mitotic spindle organizing protein 2	3.038767383876043	3.452614637464307e-19	-0.23000860940276918	0.6769867874100775	2.1249105288479124	2.097127249722864e-13
ENSMUSG00000019122	Ccl9	Ccl9	20308	chemokine (C-C motif) ligand 9	-6.9756930085827475	3.452614637464307e-19	-2.8385836151886177	2.9158570406043692e-12	-0.9259017227766817	3.570145836349082e-4
ENSMUSG00000027199	Gatm	Gatm	67092	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	-2.792527701991555	1.5501441688913218e-17	-2.706270230152946	4.402504216322244e-17	-0.4427756480821356	0.03503419229445779
ENSMUSG00000060591	Ifitm2	Ifitm2	80876	interferon induced transmembrane protein 2	4.355567813132365	3.912421048397608e-17	-1.4561248180860806	0.20176903101519897	-5.639819289388389	1.7446614022020366e-4
ENSMUSG00000084416	Rpl10a-ps1	NA	NA	NA	-10.654938932284546	4.368790115442161e-17	0.7011494239705878	0.01711183027199536	-2.957766416191226	1.4153622082695197e-11
ENSMUSG00000069516	Lyz2	Lyz2	17105	lysozyme 2	-5.465284061995096	4.368790115442161e-17	1.3537380290148002	1.6748675232965266e-6	2.977247839768309	7.710560156106786e-17
ENSMUSG00000044811	AF251705	Cd300c2	140497	CD300C molecule 2	2.1927588016142634	5.609453483623628e-17	0.8378399910191799	6.462200140205724e-5	1.6674874154761197	2.1689958420801865e-13
ENSMUSG00000097554	Gm26825	NA	NA	NA	9.251783023865523	1.6387174364402203e-16	-0.01765743923501413	0.9860359139277982	8.35543298659238	2.176834741125308e-13
ENSMUSG00000073599	Ecscr	Ecscr	68545	endothelial cell surface expressed chemotaxis and apoptosis regulator	-6.888244518384206	2.9155368056001507e-16	-0.13220412525057973	0.8333516653035616	-2.2929271604161587	8.738080050560547e-9
ENSMUSG00000068014	Gm14648	NA	NA	NA	-7.090382180629879	4.053378494660113e-16	-5.051541434226204	1.4472420658073796e-11	-9.047932045981845	9.179781919110525e-15
ENSMUSG00000064351	mt-Co1	COX1	17708	cytochrome c oxidase subunit I	2.6358558874568763	4.286629245301607e-16	0.10565173942025376	0.8312703903764266	2.5862650755769456	1.2666499870982764e-16
ENSMUSG00000082769	Gm15793	NA	NA	NA	9.570875169719502	2.6528259968246697e-15	5.7975568895749765	0.001055597780295537	3.9507963792425347	0.07328723493116827
ENSMUSG00000094326	Gm10045	Gm10045	100043348	predicted pseudogene 10045	9.541350203421993	8.752193176606956e-15	0.04554529195924116	1	-0.40739146479185395	0.9999984152650183
